ID,website,email_1,email_2,email_3,email_4,email_5,email_6,email_7,email_8,email_9,category_1,category_10,category_11,category_12,category_13,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9
189,https://www.980waav.com,********@**********.***,,,,,,,,,,,,,,,,,,,,,
190,https://www.980waav.com,*****.*******@****************.**,,,,,,,,,,,,,,,,,,,,,
191,https://www.wics.com,***@*****.****,,,,,,,,,,,,,,,,,,,,,
192,https://www.wics.com,*******@**********.**,,,,,,,,,,,,,,,,,,,,,
193,https://www.kglt.net,*******@*********.***,,,,,,,,,,,,,,,,,,,,,
194,https://www.989myfm.com,*******@*********.***,,,,,,,,,,,,,,,,,,,,,
195,https://www.krxt985.com,******@************.***,,,,,,,,,,,,,,,,,,,,,
196,https://www.newstalk1280.com,*****@***********.***,,,,,,,,,,,,,,,,,,,,,
197,https://www.103gbfrocks.com,*******@***************.***,,,,,,,,,,,,,,,,,,,,,
198,https://my1053wjlt.com/,*******.*******@******.***,,,,,,,,,,,,,,,,,,,,,
199,https://1061evansville.com,********@*********.***,,,,,,,,,,,,,,,,,,,,,
200,https://www.wkdq.com,******@****.**.**,,,,,,,,,,,,,,,,,,,,,
201,,******.*@************.***,,,,,,,,,,,,,,,,,,,,,
202,,*******.******@****.***,,,,,,,,,,,,,,,,,,,,,
203,https://wgpasunny1100.com,******@*******-*******.***,******.*****@*********.***,,,,,,,,,,,,,,,,,,,,
204,https://www.garycraig.com,**********@***.***,,,,,,,,,,,,,,,,,,,,,
205,https://www.dcmliferadio.org/,******@**************.***,*****@*****.**,,,,,,,,,,,,,,,,,,,,
206,https://www.blabtv.com,******@*******.**,,,,,,,,,,,,,,,,,,,,,
207,https://www.kdrv.com,*****.*******@**********.***,,,,,,,,,,,,,,,,,,,,,
208,https://www.wevl.org,*******@***********.***,,,,,,,,,,,,,,,,,,,,,
209,https://www.espnarkansas.net,*****.******@********.***,,,,,,,,,,,,,,,,,,,,,
210,https://www.espnarkansas.net,******@**********-********.***,,,,,,,,,,,,,,,,,,,,,
211,https://www.espnarkansas.com,*******.*****@*********.***,,,,,,,,,,,,,,,,,,,,,
212,https://www.espnarkansas.com,****@**************.***,,,,,,,,,,,,,,,,,,,,,
213,https://www.lex18.com,*******@***********.***,*******@****.**,,,,,,,,,,,,,,,,,,,,
214,https://www.lex18.com,********@***.***,,,,,,,,,,,,,,,,,,,,,
215,https://www.wrat.com,*********@*******************.***,,,,,,,,,,,,,,,,,,,,,
216,https://www.wspa.com,*****@*************.***,,,,,,,,,,,,,,,,,,,,,
217,https://www.carolinascw.com,******.******@*******.***,,,,,,,,,,,,,,,,,,,,,
218,https://www.wspa.com,********@*****.***,,,,,,,,,,,,,,,,,,,,,
219,https://www.wspa.com,**********@****************.**.**,,,,,,,,,,,,,,,,,,,,,
220,https://www.wspa.com,***@**********.***,,,,,,,,,,,,,,,,,,,,,
221,https://www.wspa.com,******.***@****.**,,,,,,,,,,,,,,,,,,,,,
222,,*******@***********.***,,,,,,,,,,,,,,,,,,,,,
223,https://www.wbtxradio.com,***@***************.***,,,,,,,,,,,,,,,,,,,,,
224,https://www.thebryancrabtreeshow.com/,*********@****************.***,,,,,,,,,,,,,,,,,,,,,
225,https://www.kdsm17.com,******@**********.***,,,,,,,,,,,,,,,,,,,,,
226,https://www.wrul.com,*******@*****.**.**,,,,,,,,,,,,,,,,,,,,,
227,https://www.wrul.com,*****@*********.***,,,,,,,,,,,,,,,,,,,,,
228,https://www.wrul.com,*****@************.***,,,,,,,,,,,,,,,,,,,,,
229,https://www.kkbs.com,****@**********.***,,,,,,,,,,,,,,,,,,,,,
230,https://www.kkbs.com,*************@********.***,,,,,,,,,,,,,,,,,,,,,
231,https://klfy.com/,******@************.***,,,,,,,,,,,,,,,,,,,,,
232,https://klfy.com/,******@*********.***,,,,,,,,,,,,,,,,,,,,,
233,https://klfy.com/,******@***************.***,,,,,,,,,,,,,,,,,,,,,
234,https://klfy.com/,**@********.**,,,,,,,,,,,,,,,,,,,,,
235,https://www.ewtn.com,*********@*******.*******,,,,,,,,,,,,,,,,,,,,,
236,,*****.*******@************.**,,,,,,,,,,,,,,,,,,,,,
237,https://q100-fm.com,********@****************.***,,,,,,,,,,,,,,,,,,,,,
238,https://q100-fm.com,*****@***********.***,,,,,,,,,,,,,,,,,,,,,
239,https://www.wrcu.fm,*******@**************.***,,,,,,,,,,,,,,,,,,,,,
240,https://www.wgrr.com,******@**********.***,,,,,,,,,,,,,,,,,,,,,
241,https://www.wgrr.com,*****@***********.***,,,,,,,,,,,,,,,,,,,,,
242,https://www.kkdv.com,****@***********.***,,,,,,,,,,,,,,,,,,,,,
243,https://www.kkiq.com/shows/hometownmornings,***@*******.***,,,,,,,,,,,,,,,,,,,,,
244,https://www.kkiq.com,*****.********@*******.***.**,,,,,,,,,,,,,,,,,,,,,
245,https://www.wytv.com,*****@500.**,,,,,,,,,,,,,,,,,,,,,
246,https://www.mix93.com,*.*****@*************-********.***,,,,,,,,,,,,,,,,,,,,,
247,https://www.q104kc.com,************@***************.***,,,,,,,,,,,,,,,,,,,,,
248,https://kc1021.com,****@*********.***,,,,,,,,,,,,,,,,,,,,,
249,https://wjcfradio.com,*******@***.**,,,,,,,,,,,,,,,,,,,,,
250,https://www.myi105.com,*******@***********.***,,,,,,,,,,,,,,,,,,,,,
251,https://www.wfsu.org,********@****************.***,,,,,,,,,,,,,,,,,,,,,
252,https://www.wfsu.org,***********@**********.***,,,,,,,,,,,,,,,,,,,,,
253,https://www.wfsu.org/fprn,*******@*********.***,,,,,,,,,,,,,,,,,,,,,
254,https://www.clear99.com,******.******@******.***,,,,,,,,,,,,,,,,,,,,,
255,https://www.kernradio.com/shows/firstlookwithscottcox,*****.*@*********.***,,,,,,,,,,,,,,,,,,,,,
256,https://www.lex18.com,***@********-**********.***,,,,,,,,,,,,,,,,,,,,,
257,https://whcbradio.com,*******@****************.***,*******.*******@****************.***,,,,,,,,,,,,,,,,,,,,
258,https://topgunradio.com,*********@*****************.***,,,,,,,,,,,,,,,,,,,,,
259,https://www.b98fm.com,*****@********.***,,,,,,,,,,,,,,,,,,,,,
260,https://www.foxillinois.com,********@********.***,,,,,,,,,,,,,,,,,,,,,
261,,*****.****@****4.***,,,,,,,,,,,,,,,,,,,,,
262,,********@***************.***,,,,,,,,,,,,,,,,,,,,,
263,,****@*********.***,,,,,,,,,,,,,,,,,,,,,
264,,*******@**************.***,,,,,,,,,,,,,,,,,,,,,
265,https://wgxa.tv/,*********@***************.***,,,,,,,,,,,,,,,,,,,,,
266,https://www.wgxa.tv,******.****@***********.**,,,,,,,,,,,,,,,,,,,,,
267,https://www.wcti12.com,*********@************.***,,,,,,,,,,,,,,,,,,,,,
268,https://www.wcti12.com,****@*******.***,****.****@*******.***,,,,,,,,,,,,,,,,,,,,
269,https://www.wcti12.com,***.*******@*******.***,,,,,,,,,,,,,,,,,,,,,
270,https://www.wcti12.com,******.******@*************.***,******@11.**,,,,,,,,,,,,,,,,,,,,
271,https://www.cbslradio.com,*****.***********@********.**,,,,,,,,,,,,,,,,,,,,,
272,https://www.cool1035.com,**@*********.***,,,,,,,,,,,,,,,,,,,,,
273,https://www.mywcwp.com,**********@**********.***,,,,,,,,,,,,,,,,,,,,,
274,,****.********@*************.**.**,,,,,,,,,,,,,,,,,,,,,
275,,*****@****.**,,,,,,,,,,,,,,,,,,,,,
276,,*****@***************.***,,,,,,,,,,,,,,,,,,,,,
277,https://www.1450kven.com,********@*******-****.***,,,,,,,,,,,,,,,,,,,,,
278,https://www.1033thevibe.com,****@******.**,,,,,,,,,,,,,,,,,,,,,
279,https://www.b951.com,*****@**********.***,,,,,,,,,,,,,,,,,,,,,
280,https://www.khay.com,*****@*****.**,,,,,,,,,,,,,,,,,,,,,
281,https://www.12news.com,********@******.***,,,,,,,,,,,,,,,,,,,,,
282,https://www.wfea1370.com,*****.*****2010@*****.***,,,,,,,,,,,,,,,,,,,,,
283,https://www.965themill.com,******@*******2*.***,,,,,,,,,,,,,,,,,,,,,
284,https://www.grittv.com,*****@**************.***,,,,,,,,,,,,,,,,,,,,,
285,https://www.wmur.com/new-hampshire-chronicle,*****@********************.***,,,,,,,,,,,,,,,,,,,,,
286,https://www.kansasfirstnews.com,****@***.***,,,,,,,,,,,,,,,,,,,,,
287,https://www.kftx.com,******@*************.***,,,,,,,,,,,,,,,,,,,,,
288,https://www.alancoxshow.com,*****@**********.***,,,,,,,,,,,,,,,,,,,,,
289,https://www.kickincountry105.com,***@***************.***,,,,,,,,,,,,,,,,,,,,,
290,https://www.thezonerocks.com,*****@*************.***,,,,,,,,,,,,,,,,,,,,,
291,https://froggy96online.com,*******@*********.***,,,,,,,,,,,,,,,,,,,,,
292,,*******@*****.**,,,,,,,,,,,,,,,,,,,,,
293,https://www.kickincountry105.com,*********@************.***,,,,,,,,,,,,,,,,,,,,,
294,,******.*****@*******.***,,,,,,,,,,,,,,,,,,,,,
